danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,chorus_hit,sections,popularity,genre,duration_ms
0.669,0.547,1,-9.873,0,0.0576,0.353,0.0,0.0515,0.73,131.073,4,28.79763,6,0,pop,141067.0
0.291,0.3,1,-14.054,0,0.0326,0.905,0.492,0.118,0.039,75.619,4,44.10303,9,0,rock,228224.0
0.355,0.968,7,-4.687,1,0.189,0.0504,0.0,0.13,0.768,181.291,3,25.23004,6,0,rock,66800.0
0.598,0.891,6,-11.904,1,0.0552,0.0183,0.836,0.579,0.826,144.383,4,55.62066,7,0,latin,155395.0
0.44,0.376,5,-10.939,1,0.0482,0.348,0.0,0.0815,0.358,130.438,4,34.90979,12,1,pop,218333.0
0.618,0.167,7,-16.755,1,0.0451,0.828,3.29e-06,0.197,0.651,175.951,4,58.27935,7,0,edm,132667.0
0.676,0.463,9,-13.155,1,0.0306,0.309,0.0,0.288,0.91,121.923,4,36.28697,7,1,pop,182133.0
0.249,0.261,0,-10.592,1,0.0334,0.962,0.00154,0.136,0.195,90.007,4,33.62341,8,1,rock,158693.0
0.663,0.822,5,-13.119,0,0.059,0.199,8.69e-06,0.0626,0.818,108.94,4,60.05568,8,1,pop,230293.0
0.522,0.44,6,-13.258,0,0.035,0.434,0.0,0.218,0.295,97.475,3,38.69467,7,1,pop,159760.0
0.423,0.95,2,-10.638,1,0.112,0.0917,0.0,0.376,0.306,168.217,4,34.97127,5,0,latin,105627.0
0.62,0.779,0,-10.159,1,0.0407,0.00454,0.86,0.0952,0.96,134.501,4,22.63804,19,1,r&b,568827.0
0.465,0.84,2,-6.608,1,0.0489,0.327,0.00113,0.222,0.579,129.436,4,30.00396,11,1,pop,236573.0
0.546,0.366,9,-11.837,1,0.0346,0.933,0.695,0.105,0.79,150.301,4,37.99756,9,0,pop,144760.0
0.611,0.322,3,-13.666,1,0.287,0.802,4.38e-05,0.121,0.857,150.686,4,42.88205,10,0,rap,185773.0
0.831,0.967,2,-3.207,1,0.0556,0.24,1.03e-06,0.109,0.966,132.824,4,22.0145,10,1,latin,183320.0
0.821,0.259,9,-17.039,1,0.402,0.248,0.0162,0.0847,0.737,90.915,4,43.44884,11,1,rap,209853.0
0.757,0.293,1,-16.331,1,0.0565,0.176,0.622,0.172,0.572,90.816,4,17.80812,8,0,pop,195493.0
0.727,0.611,7,-14.611,0,0.0372,0.125,2.98e-05,0.0541,0.951,127.357,4,60.15212,7,1,pop,212520.0
0.495,0.34,9,-14.689,1,0.0394,0.463,0.0,0.146,0.751,149.364,4,29.10788,10,1,pop,171573.0
0.604,0.357,6,-11.419,1,0.0269,0.0311,0.0,0.0927,0.638,100.721,4,21.60974,9,1,pop,185293.0
0.615,0.386,0,-11.662,1,0.0904,0.873,0.778,0.0887,0.365,156.85,4,49.81374,7,0,pop,183360.0
0.795,0.71,9,-4.746,0,0.0392,0.443,0.0215,0.344,0.845,109.689,4,45.45196,15,1,r&b,288667.0
0.699,0.725,2,-9.315,1,0.18,0.0862,0.0153,0.0584,0.741,109.862,4,53.87844,8,1,pop,189413.0
0.747,0.705,0,-11.036,1,0.0541,0.00643,3.9e-05,0.0412,0.822,116.184,4,27.72172,14,1,r&b,303000.0
0.573,0.305,2,-13.816,1,0.0331,0.676,1.57e-06,0.132,0.431,94.349,1,19.41836,9,0,pop,157667.0
0.659,0.717,0,-11.55,1,0.0548,0.237,0.00735,0.0876,0.879,122.309,4,31.89382,8,1,pop,161784.0
0.238,0.384,8,-13.17,0,0.0366,0.695,0.0,0.327,0.333,176.981,4,34.3477,8,1,rock,212573.0
0.536,0.544,8,-7.316,1,0.0571,0.159,0.0,0.057,0.398,123.841,4,35.46591,13,1,r&b,250973.0
0.838,0.89,9,-3.561,1,0.0907,0.216,0.101,0.0674,0.976,140.118,4,26.69008,11,1,r&b,242616.0
0.493,0.586,2,-13.916,1,0.046,0.0202,0.00106,0.102,0.656,113.618,4,20.22118,10,1,pop,232533.0
0.526,0.431,8,-10.522,1,0.273,0.719,0.0,0.34,0.431,124.4,4,51.40126,51,0,rap,1462413.0
0.56,0.529,2,-11.598,1,0.0527,0.659,8.28e-06,0.172,0.859,168.689,4,35.17276,10,1,pop,179760.0
