danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,chorus_hit,sections,popularity,genre,duration_ms
0.527,0.316,1,-15.769,1,0.031,0.693,0.00699,0.168,0.543,116.211,4,53.89523,6,0,pop,158840.0
0.738,0.541,1,-5.485,1,0.0311,0.559,0.0,0.0492,0.309,134.187,4,32.16853,16,1,r&b,387573.0
0.736,0.419,0,-10.662,1,0.03,0.693,0.495,0.0809,0.265,93.982,4,42.05369,9,0,pop,237267.0
0.565,0.594,5,-13.086,1,0.0646,0.655,0.926,0.675,0.763,114.219,4,80.99693,10,0,r&b,375933.0
0.513,0.76,4,-10.077,1,0.0355,1.72e-05,0.00339,0.153,0.961,153.166,4,25.57331,20,0,r&b,430653.0
0.166,0.985,2,-4.529,1,0.119,0.147,0.179,0.54,0.609,170.045,4,28.13311,4,0,rock,65667.0
0.679,0.597,11,-8.601,0,0.0439,0.0913,0.000673,0.0487,0.9,184.174,4,20.93007,15,1,edm,315040.0
0.811,0.634,4,-10.408,0,0.0714,0.00469,0.00943,0.224,0.273,107.915,4,54.7873,9,1,pop,179160.0
0.528,0.234,3,-15.784,1,0.0283,0.641,0.0,0.183,0.191,95.911,4,46.33298,10,1,pop,218733.0
0.207,0.989,6,-5.564,1,0.218,0.000118,0.134,0.2,0.323,200.465,4,49.52643,3,0,rock,80987.0
0.705,0.913,4,-7.253,0,0.0484,0.103,0.00111,0.216,0.665,114.959,4,44.28293,12,1,r&b,290573.0
0.643,0.816,7,-8.535,1,0.0476,0.0357,7.28e-05,0.218,0.616,115.061,4,31.51525,14,0,r&b,276067.0
0.567,0.0638,0,-27.025,0,0.897,0.706,0.0,0.497,0.54,87.712,4,59.29921,5,0,rap,108867.0
0.62,0.868,11,-6.805,0,0.0528,0.00591,0.0,0.248,0.339,133.97,4,45.68575,9,1,latin,228040.0
0.295,0.209,5,-13.146,1,0.0348,0.916,0.00154,0.138,0.0786,126.328,4,52.82156,18,0,rock,362600.0
0.53,0.679,2,-5.987,0,0.0523,0.444,0.0,0.0728,0.338,76.045,4,35.00537,10,1,r&b,257572.99999999997
0.534,0.814,2,-7.978,1,0.0717,0.0359,0.00539,0.721,0.686,127.967,4,53.22886,8,1,pop,205907.0
0.461,0.695,7,-7.662,1,0.0282,0.0275,0.0,0.151,0.371,149.346,4,41.53611,8,0,r&b,273600.0
0.486,0.262,2,-11.864,0,0.0381,0.83,0.0,0.16,0.329,128.764,4,24.69182,11,0,r&b,244160.0
