danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,chorus_hit,sections,popularity,genre,duration_ms
0.509,0.277,6,-14.323,1,0.0495,0.827,0.00206,0.0756,0.64,101.157,4,68.4653,7,0,pop,161893.0
0.716,0.753,2,-5.682,1,0.0286,0.162,0.0306,0.0831,0.561,120.141,4,57.71583,11,1,pop,222000.0
0.36,0.542,5,-13.885,1,0.0339,0.368,0.165,0.116,0.803,116.831,4,30.34574,17,0,r&b,444907.0
0.656,0.512,7,-11.872,1,0.029,0.585,0.0,0.072,0.88,97.5,3,50.97022,7,0,pop,157893.0
0.642,0.889,2,-5.62,0,0.0494,0.375,0.0,0.18,0.764,163.351,4,33.62053,7,1,latin,162293.0
0.296,0.547,4,-15.115,0,0.0327,0.000291,0.0136,0.372,0.49,148.775,4,53.02555,11,0,rock,224360.0
0.454,0.734,2,-15.559,1,0.041,0.124,1.36e-05,0.099,0.46,135.527,4,36.52688,11,0,pop,225560.0
0.487,0.853,11,-10.165,0,0.0343,0.0277,0.00737,0.136,0.802,83.593,4,15.23401,10,1,latin,213427.0
0.775,0.488,0,-15.044,1,0.123,0.24,0.0,0.0368,0.961,81.158,4,28.65643,9,1,pop,215200.0
0.406,0.777,8,-11.498,1,0.059,0.087,1.63e-05,0.196,0.456,131.109,4,41.44096,12,0,r&b,295507.0
0.763,0.824,1,-10.054,0,0.033,0.0613,4.45e-05,0.0226,0.947,116.975,4,26.8888,14,1,r&b,256947.0
0.806,0.749,4,-14.328,0,0.0502,0.00164,0.898,0.629,0.252,115.718,4,86.13896,17,0,r&b,390200.0
0.655,0.304,3,-15.005,1,0.0375,0.751,0.0052,0.092,0.442,82.465,4,23.18097,23,0,r&b,462560.0
0.514,0.59,1,-6.405,0,0.0274,0.403,0.0,0.126,0.173,130.167,4,67.3578,8,1,r&b,287600.0
0.724,0.275,9,-11.332,1,0.0354,0.205,0.0001,0.0935,0.653,79.944,4,24.25118,12,1,r&b,257067.0
0.0802,0.0176,6,-29.853,0,0.0434,0.939,0.814,0.0812,0.0489,81.378,4,36.0528,10,0,rock,211253.0
0.707,0.513,6,-14.836,0,0.0295,0.106,0.0519,0.289,0.791,111.402,4,18.21774,10,1,pop,195133.0
0.639,0.15,2,-18.53,1,0.0357,0.822,0.0013,0.139,0.711,98.852,4,23.41037,8,0,pop,147627.0
0.22,0.924,11,-11.801,0,0.0468,3.2e-05,0.0706,0.937,0.273,176.57,4,30.08494,14,0,rock,264440.0
0.483,0.26,9,-12.947,1,0.0516,0.948,3.14e-06,0.144,0.468,129.326,4,38.22913,11,0,r&b,273000.0
0.641,0.894,8,-7.41,1,0.0273,0.0857,0.009,0.157,0.972,109.823,4,34.61031,7,1,latin,199453.0
